edinburgh,493.8561118183925,179.83139639877575
stockholm,1685.7960884959293,126.7857845582173
petrograd,2512.1668228875924,190.9611103879885
riga,2029.0177965810433,206.80889841824268
kobenhavn,1392.3358871129628,349.3579669619515
danzig,1793.3372402989417,468.37445844950935
london,684.846699094478,610.1197111684443
amsterdam,961.2161820094938,622.0700501009471
essen,1189.7522018894683,648.8815384667541
berlin,1468.7193546479848,693.5673524097658
warszawa,1929.6216070316204,666.1174952733443
wilno,2248.8059923388473,595.2585617351399
smolensk,2543.093995592111,607.3875683768144
moskva,2786.3124971962175,535.8902660679958
brest,396.23347313892697,947.3589784270499
dieppe,653.3109985263736,865.9726261687126
bruxelles,896.1782084401425,754.0125648609468
frankfurt,1149.8108088642732,847.0255388704752
munchen,1309.138588417632,972.3346844110899
paris,795.4141532631536,993.4348498113998
wien,1628.812987859581,1018.7389946392558
kyiv,2360.026452431902,817.0180515885918
budapest,1762.6218813743767,1088.5142121994172
kharkov,2745.60997217529,963.3654143174567
zurich,1122.2975870170405,1150.2061324182978
venezia,1357.8216674037415,1238.595654503376
zagreb,1594.4336188314894,1273.4075278168834
bucuresti,2194.1497269847387,1287.2778835902336
rostov,2862.2050840027005,1115.6744755850114
sevastopol,2591.23866245444,1329.2863379055568
sochi,2845.0438773046426,1372.866770704569
sarajevo,1834.3397946912687,1437.7494507117387
marseille,1044.5648159430443,1413.189482910051
roma,1377.0021517288535,1490.8854684401376
brindisi,1622.4684515000965,1564.024395804441
pamplona,611.7177726129593,1429.00045015158
madrid,328.9941639602323,1660.4700712707715
barcelona,644.7848613442723,1688.0259785468656
lisboa,133.8983404454851,1726.053130587876
cadiz,322.9318643594916,1871.5483210056534
palermo,1484.688915119624,1870.4460847146097
athina,1969.6728831788823,1791.6361899049805
constantinople,2342.779867697198,1638.4253454498967
smyrna,2214.9204579361212,1864.934903259391
angora,2559.920417032821,1796.5962532146773
erzurum,2794.1456288796226,1728.2576031699639
sofia,2020.9268707124195,1464.8231296105032